(h)ari-	harusp		haruspex
Populi-	Poplif	--1	Poplifugia
Ramn-	Rham	+1	Rhamnusius
Rham-	Ramn	--1	Ramnes
Rheg-	Regi	--1	Reginus, Regium
Rhi-	Rip	--1	Ripaeus
Rod-	Rau	+1	Raudusculana
Rod-	Rho	+1	Rhodiensis, Rhodius, Rhodus
Romul-	Romil		Romilius
Rud-	Rau		Raudusculana
Sam-	Sem		Semiramis
Sar-	Ser		Serapio, Serapis
Saur-	Sora	--1	Soracte
Sic-	Sug		Sugamber
Sig-	Sug		Sugamber
Sipunt-	Sipont		Sipontinus
Sisp-	Sosp		Sospita
Summ-	Subm		Submemmianus
Syc-	Sug		Sugamber
Syg-	Sug		Sugamber
Tam-	Tom		Tomyris
Ter-	Tir		Tiresias
Thal-	Tala	--1	Talassius
Tham-	Tomy	--1	Tomyris
Theo-	Thei	+1	Theiodamas
Thio-	Thei	+1	Theiodamas
Threc-	Thrae	+1	Thraecidicus
Toloss-	Tolosa	--1	Tolosanus
Treuir-	Treuer		Treuericus
Trogl-	Trogo	--1	Trogodytae, Trogodyticus, Trogodytis
Virdu-	Uirid	+1	Uiridomarus
Vlis-	Olis		Olisipo
Xers-	Xerx		Xerxes
abb-	adb		adbibo
abf-	afl		afluo
abs-	aps		apsinthites, apsinthium, apsinthius
accers-	arcess		arcessitor, arcessitus
acu-	aqu		aquarius
acula aquu-	aquola	.	aquola
ad(g)n-	agnosc	--1	agnosco
ad-	ac		accedo
adc-	acc		accommodate, accumulate, accurate, acceleratio, accelero, accessio, accessus, acclamatio, acclamo, acclaro, acclinis, acclino, accliuis, accliuitas, accognosco, accola, accolo, accommodatio, accommodatus, accommodo, accommodus, accredo, accresco, accretio, accretus, accubitio, accubitus, accubo, accudo, accumbo, accumulatio, accumulator, accumulo, accuratio, accuratus, accuro, accurro, accursus
adf-	aff		affabiliter, affabre, affirmate, affluenter, affaber, affabilis, affabilitas, affamen, affatus, affectatio, affectator, affectio, affecto, affectus, affectus, affero, afficio, afficticius, affigo, affiguro, affingo, affinis, affinis, affinitas, affirmatio, affirmator, affirmo, affixa, afflatus, afflecto, affleo, afflexus, afflictatio, afflicto, afflictor, afflictrix, afflictus, afflictus, affligo, afflo, affluens, affluentia, affluo, affodio, affor, afformido, affrango, affremo, affrico, affrictus, affrio, affulgeo, affundo
adg-	agg		aggemo, aggero, aggestus, agglomero, agglutino, aggrauesco, aggrauo, aggredior, aggrego, aggressio, aggressor, aggressura, aggressus, agguberno
adgn-	agna	--1	agnata, agnatio, agnatum, agnatus
adgn-	agni	--1	agnitus
adgn-	agno	--1	agnomen, agnomentum
adl-	all		allabor, allaboro, allacrimo, allambo, allapsus, allatro, allaudabilis, allaudo, allauo, allectatio, allecto, allector, allegatio, allegatus, allego, allego, alleuamentum, alleuatio, alleuo, alleuo, allicefacio, allicio, allido, alligatio, alligator, alligatura, alligo, allino, alliuesco, allocutio, alloquium, alloquor, allubentia, alluceo, alluctor, alludio, alludo, alluo, alluuies, alluuio
adol-	adul		adulescens, adulescentia
adp-	app		apparate, appetenter, apposite, apprime, approbe, apparatio, apparator, apparatorium, apparatus, apparatus, apparens, appareo, appario, apparitio, apparo, appello, appello, appendo, appetens, appetentia, appetibilis, appetisso, appetitio, appetitus, appeto, appiciscor, appingo, applausus, applicatio, applicatus, applicitus, applico, apploro, applumbator, applumbo, appono, apporrectus, apportatio, apporto, appositus, appotus, apprecor, apprehendo, apprenso, apprimo, apprimus, approbatio, approbator, approbo, approbus, appromissor, appromitto, approno, appropero, appropinquatio, appropinquo, appugno, appulsus
adp- applodo	app		applaudo
adq-	acq		acquiesco, acquiro, acquisitio, acquisitrix, acquisitus
adr-	arr		arrepo, arrideo, arrigo, arripio, arrisio, arrisor, arrodo, arrogans, arroganter, arrogantia, arrogatio, arrogator, arrogo, arrosor, arruo
ads-	ass		assecue, assentatorie, asseuerate, assiduo, assimiliter, assimulanter, assudesco, assultim, assectatio, assectator, assector, assensio, assensor, assensus, assentatio, assentatiuncula, assentator, assentio, assentior, assentor, assequor, assero, assero, assertio, assertor, asseruio, asseruo, assessio, assessor, assessura, assestrix, asseueranter, asseueratio, asseuero, assibilo, assiccesco, assicco, assideo, assido, assidue, assiduitas, assiduus, assignatio, assignator, assignifico, assigno, assilio, assimilis, assimulatio, assipio, assisto, assitus, associo, assoleo, assono, assubrigo, assuefacio, assuesco, assuetudo, assuetus, assugo, assulto, assultus, assumo, assumptio, assumptiuus, assuo, assurgo, assuscipio, assuspiro
ads-	asc	--1	ascensus, ascio, ascisco, ascribo, ascripticius, ascriptio, ascriptiuus, ascriptor
ads-	asp	--1	aspectus, aspicio, aspiramen, aspiratio, aspuo
ads-	ast	--1	astator, asterno, astipulatio, astipulator, astipulatus, astipulor, astituo, asto, astrepo, astricte, astrictio, astrictorius, astrictus, astringo, astruo, astupeo
ads- assecla	ass	.	assecula
adsc-	asce	--1	ascendo
adt-	att		attemperate, atterraneus, attactus, attempero, attendo, attente, attentus, attenuatio, attenuo, attero, attestatio, attestatus, attestor, attexo, attibernalis, attineo, attingo, attollo, attondeo, attonitus, attono, attorqueo, attractus, attraho, attrectatio, attremo, attrepido, attribuo, attributio, attritus, attritus, attumulo, attuor
adt- attento	att	.	attempto
adt- attracto	att	.	attrecto
aduerto -uorto	angu		animaduerto
adul-	adol		adolesco
aduor-	aduer		aduerto
aduors-	aduers		aduersabilis, aduersarius, aduersarius, aduersatrix, aduersitor, aduerso, aduersor, aduersum
aestu-	aesti		aestimatio
agn-	acn		acnua
ahen-	aene	--1	aeneum, aeneus
all-	ali	--1	alium
alum-	alim		alimentarius, alimentum
amf-	anf		anfractus
amm-	adm		adminiculum, administer, administro, admiror, admoneo, admoueo
anet-	anat		anaticula, anatinus
angl-	angu	+1	angulatus
angol-	angul		angularius
ann-	adn		adnato, adnitor, adno, adnumero, adnuntio, adnuo
anti-	ante		antegerio, antecessus, antesto
anticus -cuus	qui	.	antiquus
antil-	antel		antelucanus
apoca-	apoch	+1	apochatus
aps-	abs		absque, absurde, absum, abscedo, abscido, abscondo, absens, absentia, absoluo, absonus, absorbeo, absterreo, abstineo, absto, abstraho, abstrudo, abstrusus, absumedo
arct-	arto	--1	arto
arcu-	arqu		arquatus
argi-	arge		argemonia
arqu-	arcu	--1	arcuatura, arcuatus
arqui-	arcip	--1	arcipotens
arqui-	arcit	--1	arcitenens
arre-	haru		haruspex
arre-	arrh	+1	arrhenicum
aru-	adu		adueho
aspargo ads-	aspergo	.	aspergo, aspergo
assimilo ads-	assimulo	.	assimulo
astrideo ads-	astrido	.	astrido
auct-	autu	--1	autumnitas
aure-	auri		aurificina
baio-	baiu		baiulus
balin-	balne	--1	balnearius, balneator, balneum
benif-	benef		beneficium, beneficus
beniu-	beneu		beneuole, beneuolens, beneuolentia, beneuolus
berul-	beryl		beryllus
bess-	besa	--1	besalis
blatt-	blate	--1	blatero
bybl-	bibl		bibliopola, bibliotheca
caet-	cete	--1	ceterus
cal-	gal		galbeus
cal-	kal		kalendae, kalendarium
calci-	calce		calceamentum, calcearium, calcearius, calceator, calceatus, calceo
cald-	cali	+1	calidarius
calic-	calyc		calyculus
calien-	calian		caliandrum
capri-	capre		capreolus
care-	cary		caryota
cari-	cary		caryota
carnu-	carni		carnificina, carnificius
cataph-	catafr	--1	catafractarius, catafractus, catafractes
cem-	cae	+1	caementicius, caementum
cer-	ger		gerro
cerc-	circ		circius
chir-	cher		cheragra, cheragricus
chort-	cohor	+1	cohortalis
circun-	circum		circumdo
clam-	chla	+1	chlamys
clathr-	clatra	--1	clatratus
clod-	clau	+1	claudigo
clos-	clau	+1	claustellum, claustrarius, claustrum
clup-	clip		clipeatus, clipeo
clus-	clys		clyster
cod-	cau	+1	caudicarius
coherc-	coerce	--1	coerceo
coherc-	coerci	--1	coercitio
col-	coa	--1	coalesco
coli-	caul	+1	cauliculus
collu-	colly		collybus
collub-	collib		collibuit
coloe-	colyp	--1	colyphium
comaud-	coaudi	--1	coaudio
comm-	comi	--1	comissatio
compet-	compit		compitum
con-	com		combenno
conang-	coangu	--1	coangusto
conb-	comb		combibo, combibo, comburo, combustum
concalf-	concale	+1	concalefacio
concamar-	concamer		concameratio
coninq-	coinqu		coinquo
conl-	coll		collabasco, collabefacto, collabefio, collabello, collabor, collacrimatio, collacrimo, collactaneus, collacteus, collaticius, collatio, collatiuus, collator, collatro, collaudatio, collaudo, collectio, collega, collegium, colleuo, colliberta, collibertus, collibro, collibuit, colliciae, colliciaris, collido, colligatio, colligo, collimo, collino, colliquefacio, colliquesco, collisio, collisus, collisus, collocatio, colloco, collocupleto, collocutio, colloquium, colloquor, colluceo, colluco, colluctatio, colluctor, colludo, collumino, colluo, collurchinatio, collusim, collusio, collusor, collusorie, collustrium, collustro, collutio, collutulento, colluuiaris, colluuies, colluuio, collacero, collinio
conm-	comm		commemoramentum, commemoratio, commemoro, commercor, commereo, commetior, commitigo, committo, communis, communitus
conn-	cone	--1	conecto, conexus
conn-	coni	--1	conitor, coniueo
conp-	comp		compactus, compaganus, compages, compago, compar, comparabilis, comparate, comparatio, comparatio, comparatiue, comparatiuus, comparator, comparatus, compareo, comparo, comparo, compartior, compasco, compascuus, compastor, compatriota, compatronus, compauesco, compauio, compedio, compeditus, compellatio, compello, compello, compendiaria, compendiarium, compendiarius, compendiosus, compendium, compenso, comperco, comperendinatio, comperendinatus, comperendino, comperendinus, compernis, compertusio, compes, compesco, competens, competenter, competentia, competitor, competitrix, competo, compilatio, compilo, compilo, compingo, compitensis, complaceo, complaco, complanator, complano, complector, complementum, compleo, completus, complexio, complexiuus, complexus, complico, complodo, comploratio, comploratus, comploro, compluit, complures, compluriens, complurimi, compluscule, complusculi, compluuiatus, compluuium, compono, comportatio, comporto, compos, composite, compositicius, compositio, composito, compositor, compositum, compositus, compotatio, compotens, compotio, compoto, compotor, compotrix, compraecido, compraes, compransor, comprecatio, comprecor, comprehendo, comprehensibilis, comprehensio, comprehenso, compresse, compressio, compressor, compressus, compressus, comprimens, comprimo, comprobatio, comprobator, comprobo, compromissarius, compromissum, compromitto, compugno, compulsio, compulso, compungo, computabilis, computatio, computator, computo, computresco
