crocotillus	           (apparently) Very thin (but cf. 
crucio	             (intr.)
cudo1	     cūdere (cūdī, cūsum
cuiusnam	     cūianam, cūiumnam
cuiusuis	     cūiauis, cūiumuīs
cummi	     ~is
curo	             (intr.)
damnigerulus	           (facet. compound of 
debeo	             (intr.)
decor2	       (? or 
decuma	   see also decima1 etc.
defero	     ~rre, dētulī, dēlātum
delibo	             (intr.)
deliramentum	           In codd. also 
deminutio	           (In codd. written 
denuntio	             (intr.)
depello	             (intr.)
deploro	             (intr.)
depropero	             (intr.)
depubem	   (accusative) 
deuito	             (intr.)
deus	     deī
differo	     ~rre, distulī, dīlātum
diiudico	             (intr.)
dirigo	             (intr.)
dis1	     dītis
disco	     ~ere, didicī
discrepito	     āre
disex	     dīsice (ablative).
disrumpo	   see also dīrumpō etc.
do1	     dare, dedī, datum
doleo	               ~eunt
dos	     dotis
echo	       (accusative) 
edisco	     ~ere, ēdidicī
edo1	     esse, ēdī, ēsum (essum)
effero1	     ~rre, extulī, ēlātum
efferuesco	     ~ere, efferuī
efflo	             (intr.)
effor	             (intr.)
effringo	             (intr.)
eicio	     ēicere, ēiēcī, ēiectum
elauo	             (intr.)
eloquor	             (intr.)
eludo	             (intr.)
eluo	             (intr.)
emereo	             (intr.)
emo	     emere, ēmī, emptum
eo1	     īre, iī or īuī, itum
epicrisis	       (accusative) 
exfafillatus	           (dub.) (apparently) Stuck or thrust out.
exhalo	             (intr.)
exilico	   corrupt word in 
expergiscor	     ~ī, experrectus
exposco	     ~ere, expoposcī
expurgo	             (intr.)
exsequium	            = exsequiae.
exsisto	     ~ere, ex(s)titī
exsto	     ~āre, ex(s)titī
exsudo	             (intr.)
exsum	     exesse
exter	     ~era, ~erum, exterior, extimus, extrēmus
extrilidus	           (Doubtful word in 
exussus	   dub. word in 
facio	     ~ere, fēcī, factum
faex	     faecis
falsus	           (both rare, cf. 
farfenum	           (probably corruption of farfarum).
fateor	     ~ērī, fassus
fax	           perhaps also 
fero	     ~rre, tulī, lātum
ferueo	     ~ēre, ferbuī
fido	     ~ere, fīsus
findo	     ~ere, fidī, fissum
finio	             (intr.)
fio	     fī̆erī
flecto	             (intr.)
fodio	     ~dere, fōdī, fossum
foliaceus	           Sometimes written 
for	     fārī, fātus
foras	        (and 
fore	   =   futurum esse
forem	     ~es, etc.
formido1	             (intr.)
foueo	     ~ēre, fōuī, fōtum
fracesco	     ~ere, fracuī
frendo	     ~ere, frēsum
frigesco	     ~ere, frixī
frigida	             ⋈22  Ɔ     ~a non laui magi' lubenter 
fucillans	           dub. word in 
fugio	     ~ere, fūgī
fundo1	     ~ere, fūdī, fūsum
fusco	             (intr.)
galactites	       (accusative) 
galbeolus	           (apparently) = Merops1, the bee-eater.
gau	   shortened from gaudium (according to Ausonius 349.3).
gaudeo	     ~dēre, gāuīsus
gausape	       or 
gemino	             (intr.)
gesto	             (intr.)
gigno	     ~ere, genuī, genitum
gingilipho	   word of unknown meaning.
glandionida	           comic patronymic based on next.
glubo	     ~ere (glupsī, gluptum)
gradior	     ~ī, gressus
grandio	             (intr.)
graphice1	        Sometimes written 
habeo	             (intr.)
hahae	        expressing joy, amusement, etc.
halagora	        unknown word used as term of abuse.
halophanta	              (Unknown word, perhaps humorous formation, indicating a dishonest person of some kind.).
helica	           (  cj.
hercle	     hercule
hermaphroditus2	           Hermaphrodite, combining characteristics of both sexes.
hic1	     haec, hoc
hidros	   (dub.) 
idem	     eadem, idem
ignoro	             (intr.)
immergo	             (intr.)
immoueo	   (dub.) 
immunis	             inm-
immuto	             (intr.)
impancro	            (=   inuado
impedio	             (intr.)
impingo	             (intr.)
impono	             (intr.)
imprecor	             (intr.)
incerno	     ~ere, incrēuī, incrētum
incoho	             (intr.)
incommodesticus	           comic enlargement of incommodus.
incuso	             (intr.)
indignor	             (intr.)
indipiscor	     ~ī, indeptus
indoloria	           quoted by Sidonius Apollinaris (
ineo	             (intr.)
infitior	           Sometimes written 
insisto	     ~ere, institī
inspicio	             (intr.)
insum	     inesse, infuī
intellego	             (intr.)
intero1	     ~ere, intrīuī, intrītum
interrogo	             (intr.)
intueor	             (intr.)
inuiso	             (intr.)
inundo	             (intr.)
ion3	     ĭōnos (-is)
irascor	     ~ī (īrātus)
irroro	             (intr.)
is	     ea, id
iugo2	   (? or 
ius1	     iūris
