(h)ari-	harusp		haruspex
aduors-	aduers		aduersabilis, aduersarius, aduersarius, aduersatrix, aduersitor, aduerso, aduersor, aduersum
aestu-	aesti		aestimatio
agn-	acn		acnua
ahen-	aene		aeneum, aeneus
all-	ali		alium
alum-	alim		alimentarius, alimentum
amf-	anf		anfractus
amm-	adm		adminiculum, administer, administro, admiror, admoneo, admoueo
anet-	anat		anaticula, anatinus
angl-	angu		angulatus
angol-	angul		angularius
ann-	adn		adnato, adnitor, adno, adnumero, adnuntio, adnuo
anti-	ante		antegerio, antecessus, antesto
anticus -cuus	qui		antiquus
antil-	antel		antelucanus
apoca-	apoch		apochatus
aps-	abs		absque, absurde, absum, abscedo, abscido, abscondo, absens, absentia, absoluo, absonus, absorbeo, absterreo, abstineo, absto, abstraho, abstrudo, abstrusus, absumedo
arct-	arto		arto
arcu-	arqu		arquatus
argi-	arge		argemonia
arqu-	arcu		arcuatura, arcuatus
arqui-	arcip		arcipotens
arqui-	arcit		arcitenens
arre-	haru		haruspex
arre-	arrh		arrhenicum
aru-	adu		adueho
aspargo ads-	aspergo		aspergo, aspergo
assimilo ads-	assimulo		assimulo
astrideo ads-	astrido		astrido
auct-	autu		autumnitas
aure-	auri		aurificina
baio-	baiu		baiulus
balin-	balne		balnearius, balneator, balneum
benif-	benef		beneficium, beneficus
beniu-	beneu		beneuole, beneuolens, beneuolentia, beneuolus
berul-	beryl		beryllus
bess-	besa		besalis
blatt-	blate		blatero
bybl-	bibl		bibliopola, bibliotheca
caet-	cete		ceterus
cal-	gal		galbeus
cal-	kal		kalendae, kalendarium
calci-	calce		calceamentum, calcearium, calcearius, calceator, calceatus, calceo
cald-	cali		calidarius
calic-	calyc		calyculus
calien-	calian		caliandrum
capri-	capre		capreolus
care-	cary		caryota
cari-	cary		caryota
carnu-	carni		carnificina, carnificius
cataph-	catafr		catafractarius, catafractus, catafractes
cem-	cae		caementicius, caementum
cer-	ger		gerro
cerc-	circ		circius
chir-	cher		cheragra, cheragricus
chort-	cohor		cohortalis
circun-	circum		circumdo
clam-	chla		chlamys
clathr-	clatra		clatratus
clod-	clau		claudigo
clos-	clau		claustellum, claustrarius, claustrum
clup-	clip		clipeatus, clipeo
clus-	clys		clyster
cod-	cau		caudicarius
coherc-	coerce		coerceo
coherc-	coerci		coercitio
col-	coa		coalesco
coli-	caul		cauliculus
collu-	colly		collybus
collub-	collib		collibuit
coloe-	colyp		colyphium
comaud-	coaudi		coaudio
comm-	comi		comissatio
compet-	compit		compitum
con-	com		combenno
conang-	coangu		coangusto
conb-	comb		combibo, combibo, comburo, combustum
concalf-	concale		concalefacio
concamar-	concamer		concameratio
coninq-	coinqu		coinquo
